posLat,posLon,time,map_via,map_bairro,map_quadra,map_Cat_via,map_Sit_pav,map_Sit_urb,map_Cal_Pass,map_Ilu_Pub,map_Arb,map_Esgo_Sani,ident_Sex_ide,ident_Natura,ident_Fax_Eta,ident_Et_Raça,ident_Est_Civ,ident_Est_Esc,ident_Def_Perm,ident_Res,ident_Ani_Est,ident_Pos_Imo,ident_Atv_trab,ident_Cid_Trab,ident_Rend_Ind,inf_Not_Cid,inf_Loc_Trav,inf_Pri_Bair,inf_Cuid_Saud,inf_Loc_Laz,inf_Res_Dom,inf_Dei_Res,inf_Fre_Res,inf_Fre_Var,inf_Ben_Arb,inf_Ori_Agu,inf_Falt_Agu,inf_Mei_Tran,inf_Sat_Vid,inf_Sat_Gov,map_Sis_Dre
-17.561638751952056,-50.641303792638446,2022-11-29 10:01:31.919238,Rua Goiania ,Novo Santo Antônio ,59,"local, 30km/h",Asfalto Baixo Conforto,Horizontal/Chão|Placa Trânsito,Calçamento|Calçamento Baixo Conforto|Obstáculo,Inadequada,Sim,Com Rede Pública,Feminino,Santo Antônio da Barra,50 a 59,Branca,Casado(a)/União Estável,Pós-Graduação,Não,Família,Não,Própia,Funcionário Público,Santo Antônio da Barra|Santa Cruz das Lajes,"De 5 ( R$ 6.060,01 em diante)",Whatsapp,Igreja/Culto,Ação Social|Outros,Caminha/Corre|Exames/Remédio,Quadra de Esportes,Não separa,Não pretende separar o resíduo.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Sombra,Filtro|Torneira/Rede pública,Nunca falta,Bicicleta|Carro,4 - satisfeito,4 - satisfeito,
-17.561638751952056,-50.641303792638446,2022-11-29 10:05:08.852283,rua goiania ,novo santo Antônio ,59,"local, 30km/h",Asfalto Baixo Conforto,Horizontal/Chão|Placa Trânsito,Calçamento|Calçamento Baixo Conforto|Obstáculo,Inadequada,Sim,Com Rede Pública,Feminino,Outro município de Goiás,50 a 59,Branca,Casado(a)/União Estável,Ginásio/Fundamental II (6º ao 9º anos) Completo,Não,Família,Não,Alugada,Informal/Bico,Santo Antônio da Barra,"Menos de 1 salário mínimo (até R$ 1.212,00)",Conversas Informais|Whatsapp,Igreja/Culto|Outros,Arborização,Exames/Remédio,Parque/Praça|Pista de Caminhada,Não separa|Calçada/Lixeira,Não pretende separar o resíduo.,3x na semana ou mais,3x na semana ou mais,Sombra,Torneira/Rede pública,Nunca falta,A pé,4 - satisfeito,5 - muito satisfeito,
-17.561638751952056,-50.641303792638446,2022-11-29 10:08:49.276932,rua goiania ,novo santo Antônio ,59,"local, 30km/h",Asfalto Baixo Conforto,Horizontal/Chão|Placa Trânsito,Calçamento|Calçamento Baixo Conforto|Obstáculo,Inadequada,Sim,Com Rede Pública,Feminino,Santo Antônio da Barra,30 a 39,Branca,Solteiro(a),Graduação,Não,Família,Cachorro,Própia,Funcionário Público,Santo Antônio da Barra,"De 3 até 5 (R$2.424,00 até 6.060,00)",Conversas Informais|Whatsapp,Bares/Restaurantes|Igreja/Culto,Arborização|Saneamento,Academia|Esporte|Exames/Remédio|Outro,Quadra de Esportes,Separa seco e orgânico,Não pretende separar o resíduo.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Preservação|Qualidade de vida|Sombra,Torneira/Rede pública,Nunca falta,Motocicleta,5 - muito satisfeito,5 - muito satisfeito,
-17.561638751952056,-50.641303792638446,2022-11-29 10:11:35.900411,rua goiania ,novo santo Antônio ,59,"local, 30km/h",Asfalto Baixo Conforto,Horizontal/Chão|Placa Trânsito,Calçamento|Calçamento Baixo Conforto|Obstáculo,Inadequada,Sim,Com Rede Pública,Feminino,Município de outro Estado,60 ou mais,Branca,Viúvo(a),Primário/Fundamental I (1º ao 5º anos) Completo,Não|Outras,Amigos,Pássaro,Alugada,Informal/Bico,Santo Antônio da Barra,"Menos de 1 salário mínimo (até R$ 1.212,00)",Conversas Informais,Casa Família/Amigos|Outros,Pavimentação|Saneamento,Exames/Remédio,Outro,Não separa,"Não pretende separar o resíduo.|Armazenar em casa para venda, doação ou destino posterior.",3x na semana ou mais,3x na semana ou mais,Sem benefícios,Cisterna|Torneira/Rede pública,1 ou 2x na semana,A pé,2 - insatisfeito,1 - muito insatisfeito,
-17.561613499590248,-50.63863954643922,2022-11-29 10:14:15.889335,martiniano da silva,centro,71,"local, 30km/h",Asfalto Baixo Conforto,Faixa de Pedestre|Horizontal/Chão|Placa Trânsito,Calçamento|Obstáculo|Rampa Acessibilidade,Sim,Sim,Com Rede Pública,Feminino,Santo Antônio da Barra,40 a 49,Branca,Casado(a)/União Estável,Ginásio/Fundamental II (6º ao 9º anos) Completo,Mobilidade,Família,Cachorro|Pássaro,Alugada,Desempregado,Desempregado,Auxílio/Seguro/Benefício governo,Conversas Informais,Casa Família/Amigos|Outros,Outros,Exames/Remédio,Outro,Separa seco e orgânico,Na calçada/lixeira para coleta da Coop Recicla ou outra empresa.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Preservação|Qualidade de vida|Sombra,Torneira/Rede pública,Nunca falta,A pé,5 - muito satisfeito,5 - muito satisfeito,
-17.561613499590248,-50.63863954643922,2022-11-29 10:16:41.861359,martiniano da silva,centro,71,"local, 30km/h",Asfalto Baixo Conforto,Faixa de Pedestre|Horizontal/Chão|Placa Trânsito,Calçamento|Obstáculo|Rampa Acessibilidade,Sim,Sim,Com Rede Pública,Masculino,Santo Antônio da Barra,60 ou mais,Preta,Outra,Primário/Fundamental I (1º ao 5º anos) Completo,Não,Família,Cachorro,Própia,Aposentado,Outra,"Menos de 1 salário mínimo (até R$ 1.212,00)",Conversas Informais|Whatsapp,Outros,Pavimentação|Saneamento,Exames/Remédio|Outro,Pista de Caminhada,Não separa,Não pretende separar o resíduo.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Sombra,Torneira/Rede pública,Nunca falta,Carro,4 - satisfeito,2 - insatisfeito,
-17.56180827275947,-50.63972683529242,2022-11-29 10:20:09.212500,Pedro Ludovico ,centro,57,"local, 30km/h",Asfalto Baixo Conforto,Horizontal/Chão|Placa Trânsito,Calçamento|Calçamento Baixo Conforto|Obstáculo|Terra/Cascalho,Inadequada,Sim,Com Rede Pública,Masculino,Outro município de Goiás,60 ou mais,Preta,Casado(a)/União Estável,Primário/Fundamental I (1º ao 5º anos) Completo,Visão,Família,Não,Própia,Aposentado,Outra,Auxílio/Seguro/Benefício governo,Carro de Som|Conversas Informais,Casa Família/Amigos|Outros,Pavimentação|Saneamento|Outros,Exames/Remédio,Outro,Não separa|Calçada/Lixeira,Não pretende separar o resíduo.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Qualidade de vida|Sombra,Torneira/Rede pública,Nunca falta,Carro,4 - satisfeito,4 - satisfeito,
-17.56180827275947,-50.63972683529242,2022-11-29 10:22:55.182504,Pedro Ludovico ,novo santo Antônio ,57,"local, 30km/h",Asfalto Baixo Conforto,Horizontal/Chão|Placa Trânsito,Calçamento Baixo Conforto|Obstáculo|Terra/Cascalho,Inadequada,Sim,Com Rede Pública,Masculino,Outro município de Goiás,60 ou mais,Preta,Casado(a)/União Estável,Primário/Fundamental I (1º ao 5º anos) Completo,Visão,Família,Não,Própia,Aposentado,Outra,Auxílio/Seguro/Benefício governo,Carro de Som|Conversas Informais,Casa Família/Amigos|Outros,Pavimentação|Saneamento|Outros,Exames/Remédio,Outro,Não separa|Calçada/Lixeira,Não pretende separar o resíduo.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Qualidade de vida|Sombra,Torneira/Rede pública,Nunca falta,Carro,4 - satisfeito,4 - satisfeito,
-17.561462068100173,-50.640604209238326,2022-11-29 10:25:46.487961,rua rio verde,novo santo Antônio ,57,"local, 30km/h",Asfalto Baixo Conforto,Horizontal/Chão|Placa Trânsito,Calçamento Baixo Conforto|Obstáculo|Rampa Acessibilidade|Terra/Cascalho,Sim,Sim,Com Rede Pública,Feminino,Santo Antônio da Barra,30 a 39,Parda,Casado(a)/União Estável,Científico/Médio,Não,Família,Cachorro,Própia,Informal/Bico,Santo Antônio da Barra,"Menos de 1 salário mínimo (até R$ 1.212,00)",Conversas Informais|Rádio|Whatsapp,Bares/Restaurantes|Praças/Parques|Shows,Pavimentação|Saneamento,Exames/Remédio,Outro,Não separa|Calçada/Lixeira,Não pretende separar o resíduo.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Qualidade de vida|Sombra,Torneira/Rede pública,Nunca falta,Carro,1 - muito insatisfeito,3 - indiferente/não sabe,
-17.561462068100173,-50.640604209238326,2022-11-29 10:28:38.601263,rua rio verde ,novo santo Antônio ,57,"local, 30km/h",Asfalto Baixo Conforto,Horizontal/Chão|Placa Trânsito,Calçamento Baixo Conforto|Obstáculo|Rampa Acessibilidade|Terra/Cascalho,Sim,Sim,Com Rede Pública,Feminino,Santo Antônio da Barra,40 a 49,Preta,Casado(a)/União Estável,Primário/Fundamental I (1º ao 5º anos) Completo,Não,Família,Não,Própia,Funcionário Público,Santo Antônio da Barra,"Menos de 1 salário mínimo (até R$ 1.212,00)",Conversas Informais|Whatsapp,Praças/Parques|Outros,Outros,Exames/Remédio,Outro,Não separa|Calçada/Lixeira,Não pretende separar o resíduo.,3x na semana ou mais,3x na semana ou mais,Ar puro/fresco|Sombra,Poço Artesiano|Torneira/Rede pública,Nunca falta,Carro,4 - satisfeito,4 - satisfeito,
